customer_id,address,order_id,order_dt,delivery_dt,payment_method,product_id,amount
4630878,Юрга,69863,2021-02-21,2021-04-11,offline,1,42
9484200,Гусь-Хрустальный,68446,2020-12-11,2020-12-20,offline,10,46
2740696,Борисоглебск,74651,2020-05-11,2020-05-19,online,4,30
7796294,Хасавюрт,52377,2023-04-11,2023-04-22,offline,1,30
2522296,Электросталь,45010,2022-11-10,2023-01-09,online,13,32
2522296,Электросталь,45010,2022-11-10,2022-11-18,online,13,32
2522296,Электросталь,45010,2022-11-10,2022-12-11,online,13,32
7081465,Сочи,31452,2022-01-26,2022-03-12,offline,14,25
1788676,Ишим,30764,2022-01-16,2022-02-12,offline,5,9
1788676,Ишим,30764,2022-01-16,2022-01-26,offline,5,9
9767097,Якутск,41411,2020-02-02,2020-02-05,online,10,50
2627693,Черемхово,68943,2021-06-30,2021-07-07,online,5,33
4683435,Электросталь,97899,2022-05-17,2022-07-12,online,12,1
4683435,Электросталь,97899,2022-05-17,2022-06-16,online,12,1
4683435,Электросталь,97899,2022-05-17,2022-05-29,online,12,1
1125364,Иваново,84517,2022-08-07,2022-08-24,offline,7,10
4775564,Чита,24594,2022-10-24,2022-11-25,online,14,45
4775564,Чита,24594,2022-10-24,2022-11-07,online,14,45
4775564,Чита,24594,2022-10-24,2022-11-02,online,14,45
271207,Южно-Сахалинск,2841,2022-11-02,2022-12-27,online,5,21
271207,Южно-Сахалинск,2841,2022-11-02,2022-11-03,online,5,21
3881923,Свободный,85867,2020-05-27,2020-06-17,offline,2,21
7244925,Воткинск,37552,2020-02-19,2020-02-21,online,3,20
7244925,Воткинск,37552,2020-02-19,2020-03-30,online,3,20
2181414,Всеволожск,181,2020-04-22,2020-04-26,offline,14,37
2181414,Всеволожск,181,2020-04-22,2020-06-01,offline,14,37
2181414,Всеволожск,181,2020-04-22,2020-05-04,offline,14,37
2181414,Всеволожск,181,2020-04-22,2020-04-30,offline,14,37
9000964,Находка,27814,2022-10-30,2022-12-27,online,2,44
9000964,Находка,27814,2022-10-30,2022-11-15,online,2,44
8494844,Муром,23791,2022-03-10,2022-04-26,online,13,21
3730827,Лабинск,73205,2022-05-06,2022-05-18,offline,11,7
3237649,Юрга,89694,2021-01-31,2021-02-18,offline,12,12
9949746,Магнитогорск,66425,2022-07-09,2022-08-08,online,9,2
9949746,Магнитогорск,66425,2022-07-09,2022-08-11,online,9,2
9949746,Магнитогорск,66425,2022-07-09,2022-08-25,online,9,2
3163123,Южно-Сахалинск,57737,2023-04-12,2023-06-08,online,7,43
4036724,Шахты,58022,2021-01-26,2021-02-01,online,11,31
9863167,Губкин,23356,2020-04-12,2020-05-01,offline,14,46
9949746,Магнитогорск,89009,2020-01-14,2020-02-28,online,6,35
2250569,Северодвинск,19972,2022-05-05,2022-05-29,offline,1,48
4997613,Барнаул,72763,2022-10-02,2022-11-30,offline,11,24
5603214,Димитровград,74423,2022-09-28,2022-11-13,online,11,28
5603214,Димитровград,74423,2022-09-28,2022-10-08,online,11,28
5603214,Димитровград,74423,2022-09-28,2022-10-31,online,11,28
6397165,Хасавюрт,51586,2023-04-21,2023-05-02,online,7,45
6397165,Хасавюрт,51586,2023-04-21,2023-06-11,online,7,45
7946166,Орехово-Зуево,59820,2021-05-16,2021-05-21,offline,5,38
7946166,Орехово-Зуево,59820,2021-05-16,2021-05-20,offline,5,38
7946166,Орехово-Зуево,59820,2021-05-16,2021-07-08,offline,5,38
7946166,Орехово-Зуево,59820,2021-05-16,2021-06-06,offline,5,38
4296424,Щекино,37002,2021-06-11,2021-07-01,offline,13,1
4834931,Камышин,24909,2022-01-24,2022-01-25,offline,11,15
4834931,Камышин,24909,2022-01-24,2022-03-19,offline,11,15
209740,Владикавказ,44479,2022-03-14,2022-04-05,offline,2,43
209740,Владикавказ,44479,2022-03-14,2022-03-26,offline,2,43
2102900,Лыткарино,50972,2022-12-10,2023-01-22,online,13,32
2102900,Лыткарино,50972,2022-12-10,2023-01-09,online,13,32
5755341,Избербаш,6276,2020-07-23,2020-09-03,offline,14,9
5755341,Избербаш,6276,2020-07-23,2020-09-07,offline,14,9
3847672,Миасс,56203,2023-01-09,2023-03-08,offline,4,48
9871721,Воскресенск,70678,2022-02-12,2022-03-30,offline,6,21
9871721,Воскресенск,70678,2022-02-12,2022-02-14,offline,6,21
7397121,Мурманск,237,2021-12-11,2022-01-13,offline,10,34
5755341,Избербаш,6276,2020-07-23,2020-09-03,offline,2,5
5755341,Избербаш,6276,2020-07-23,2020-09-07,offline,2,5
4429780,Королев,25169,2023-03-28,2023-05-27,online,8,38
4429780,Королев,25169,2023-03-28,2023-05-09,online,8,38
9090105,Ейск,52488,2021-01-07,2021-03-07,offline,7,8
9090105,Ейск,52488,2021-01-07,2021-02-24,offline,7,8
7751030,Вологда,62432,2021-09-25,2021-10-05,offline,15,41
7751030,Вологда,62432,2021-09-25,2021-10-10,offline,15,41
7000636,Абакан,16417,2021-03-19,2021-05-13,offline,9,28
7000636,Абакан,16417,2021-03-19,2021-04-09,offline,9,28
8731299,Геленджик,39659,2021-09-12,2021-11-10,online,13,9
4378452,Биробиджан,26408,2022-06-10,2022-07-18,offline,12,8
4378452,Биробиджан,26408,2022-06-10,2022-07-12,offline,12,8
3286151,Таганрог,68337,2021-06-18,2021-07-03,offline,9,28
2471692,Тихвин,39273,2021-10-16,2021-10-21,offline,8,1
2471692,Тихвин,39273,2021-10-16,2021-12-09,offline,8,1
7796294,Хасавюрт,52377,2023-04-11,2023-04-22,offline,13,40
2951321,Йошкар-Ола,57374,2021-11-03,2021-11-25,offline,13,6
113347,Черкесск,47443,2023-04-26,2023-05-26,online,2,35
3603634,Соликамск,50677,2023-01-06,2023-03-03,offline,2,45
1825752,Озерск (Челябинская область),22296,2020-07-03,2020-07-09,offline,6,23
1825752,Озерск (Челябинская область),22296,2020-07-03,2020-08-11,offline,6,23
1825752,Озерск (Челябинская область),22296,2020-07-03,2020-07-08,offline,6,23
4966258,Новый Уренгой,9661,2022-07-23,2022-08-30,offline,12,9
6109375,Новокузнецк,99166,2022-10-30,2022-12-21,offline,15,20
3896308,Узловая,74263,2022-07-05,2022-07-08,offline,5,23
3896308,Узловая,74263,2022-07-05,2022-08-30,offline,5,23
8765352,Прохладный,62300,2022-08-27,2022-10-12,offline,14,10
4498799,Череповец,20849,2022-08-30,2022-10-20,online,6,15
4498799,Череповец,20849,2022-08-30,2022-10-15,online,6,15
4808420,Назрань,96338,2020-04-20,2020-05-08,online,11,18
9949746,Магнитогорск,66425,2022-07-09,2022-08-08,online,1,41
9949746,Магнитогорск,66425,2022-07-09,2022-08-11,online,1,41
9949746,Магнитогорск,66425,2022-07-09,2022-08-25,online,1,41
3320816,Кумертау,52657,2022-05-11,2022-06-22,online,4,22
3320816,Кумертау,52657,2022-05-11,2022-06-24,online,4,22
3348290,Якутск,53264,2021-01-08,2021-02-06,offline,5,39
3348290,Якутск,53264,2021-01-08,2021-01-16,offline,5,39
3348290,Якутск,53264,2021-01-08,2021-02-13,offline,5,39
3348290,Якутск,53264,2021-01-08,2021-02-25,offline,5,39
8701726,Гуково,94871,2021-07-21,2021-09-10,offline,3,3
8701726,Гуково,94871,2021-07-21,2021-08-03,offline,3,3
8701726,Гуково,94871,2021-07-21,2021-09-17,offline,3,3
7397121,Мурманск,95455,2023-04-07,2023-04-15,online,8,25
7397121,Мурманск,95455,2023-04-07,2023-05-15,online,8,25
4683435,Электросталь,30974,2020-08-20,2020-08-31,offline,9,31
6397165,Хасавюрт,56666,2022-11-14,2022-12-27,offline,11,5
6397165,Хасавюрт,56666,2022-11-14,2022-12-31,offline,11,5
6397165,Хасавюрт,56666,2022-11-14,2023-01-04,offline,11,5
380443,Всеволожск,20087,2022-12-08,2022-12-28,offline,1,38
8647292,Черемхово,69809,2020-12-28,2021-01-14,online,4,25
8647292,Черемхово,69809,2020-12-28,2021-02-18,online,4,25
4189625,Сызрань,48023,2021-10-12,2021-11-20,online,10,26
1469502,Барнаул,27728,2020-03-18,2020-05-16,offline,10,8
9700458,Нерюнгри,92384,2023-03-17,2023-03-18,offline,4,11
3210571,Ставрополь,4833,2020-12-28,2021-01-25,offline,2,1
3210571,Ставрополь,4833,2020-12-28,2021-01-07,offline,2,1
3210571,Ставрополь,4833,2020-12-28,2020-12-30,offline,2,1
6071307,Выборг,13042,2020-08-03,2020-09-30,offline,9,19
6071307,Выборг,13042,2020-08-03,2020-09-19,offline,9,19
4534342,Волгодонск,30707,2021-11-14,2021-12-03,offline,14,41
4534342,Волгодонск,30707,2021-11-14,2021-11-26,offline,14,41
7146160,Сертолово,92213,2021-05-22,2021-06-25,offline,15,35
1291926,Елабуга,71215,2022-11-02,2022-12-28,offline,6,43
4104890,Пятигорск,91401,2022-03-08,2022-04-22,online,6,19
4104890,Пятигорск,91401,2022-03-08,2022-04-14,online,6,19
4104890,Пятигорск,91401,2022-03-08,2022-04-06,online,6,19
4104890,Пятигорск,91401,2022-03-08,2022-03-31,online,6,19
3508936,Кропоткин,85590,2021-11-23,2022-01-22,online,15,43
5132474,Донской,8979,2021-11-05,2021-11-15,online,2,23
5132474,Донской,8979,2021-11-05,2021-11-19,online,2,23
9700458,Нерюнгри,92384,2023-03-17,2023-03-18,offline,2,40
1644687,Черногорск,14779,2020-01-13,2020-02-05,online,2,10
7776169,Курган,88184,2020-10-09,2020-11-20,online,6,20
2576384,Сертолово,94300,2020-12-16,2020-12-20,online,10,4
3318448,Архангельск,21334,2023-04-30,2023-06-05,online,15,3
7146160,Сертолово,55351,2021-11-18,2022-01-11,online,9,37
9863167,Губкин,27279,2022-10-05,2022-11-20,online,10,10
4378452,Биробиджан,22305,2021-06-03,2021-06-20,offline,3,14
581451,Саратов,55475,2021-10-08,2021-10-15,offline,9,27
581451,Саратов,55475,2021-10-08,2021-10-28,offline,9,27
581451,Саратов,55475,2021-10-08,2021-12-06,offline,9,27
1436524,Кострома,51758,2021-07-05,2021-08-09,offline,2,12
6408200,Горно-Алтайск,5868,2021-08-08,2021-10-05,offline,4,36
6408200,Горно-Алтайск,5868,2021-08-08,2021-10-05,offline,4,36
9970004,Боровичи,53343,2020-07-09,2020-07-11,offline,15,24
9970004,Боровичи,53343,2020-07-09,2020-08-30,offline,15,24
2365208,Ростов-на-Дону,12027,2023-03-21,2023-04-30,offline,7,43
2365208,Ростов-на-Дону,12027,2023-03-21,2023-03-27,offline,7,43
4631776,Анжеро-Судженск,89484,2020-12-27,2021-01-06,online,8,28
6766988,Узловая,52385,2020-01-04,2020-02-23,online,6,35
2363205,Симферополь,88567,2020-03-24,2020-04-10,offline,14,39
2363205,Симферополь,88567,2020-03-24,2020-04-28,offline,14,39
2080808,Березники,88143,2022-06-21,2022-08-18,offline,7,7
4244509,Урус-Мартан,9114,2020-12-15,2021-01-12,online,11,47
4244509,Урус-Мартан,9114,2020-12-15,2021-01-12,online,11,47
1086528,Березники,86932,2021-01-14,2021-02-04,online,14,37
3488569,Тула,16852,2021-03-09,2021-04-08,online,9,40
3488569,Тула,16852,2021-03-09,2021-04-07,online,9,40
3488569,Тула,16852,2021-03-09,2021-04-08,online,9,40
2181414,Всеволожск,5673,2022-02-06,2022-03-17,online,15,39
2565819,Краснотурьинск,6643,2021-12-15,2021-12-19,offline,3,8
9568232,Элиста,62961,2023-03-07,2023-03-20,offline,12,39
9568232,Элиста,62961,2023-03-07,2023-03-12,offline,12,39
3237649,Юрга,89694,2021-01-31,2021-02-18,offline,14,25
9599952,Междуреченск,50388,2020-05-13,2020-05-20,online,12,18
9599952,Междуреченск,50388,2020-05-13,2020-06-13,online,12,18
436078,Бугульма,2702,2020-10-29,2020-11-08,offline,10,27
436078,Бугульма,2702,2020-10-29,2020-10-31,offline,10,27
436078,Бугульма,2702,2020-10-29,2020-11-19,offline,10,27
1436524,Кострома,51758,2021-07-05,2021-08-09,offline,7,19
8857342,Павловский Посад,82979,2022-07-25,2022-09-09,online,1,19
8857342,Павловский Посад,82979,2022-07-25,2022-09-05,online,1,19
288916,Рыбинск,22838,2021-01-05,2021-02-17,online,2,38
288916,Рыбинск,22838,2021-01-05,2021-02-24,online,2,38
3112132,Солнечногорск,71457,2020-10-17,2020-11-30,offline,6,25
2911210,Заречный,29569,2022-02-15,2022-03-18,online,7,6
8513493,Каменск-Уральский,6169,2021-02-27,2021-04-21,offline,9,26
8513493,Каменск-Уральский,6169,2021-02-27,2021-04-01,offline,9,26
8513493,Каменск-Уральский,6169,2021-02-27,2021-04-18,offline,9,26
3187128,Братск,17716,2021-07-11,2021-07-19,online,9,40
2181414,Всеволожск,181,2020-04-22,2020-04-26,offline,13,18
2181414,Всеволожск,181,2020-04-22,2020-06-01,offline,13,18
2181414,Всеволожск,181,2020-04-22,2020-05-04,offline,13,18
2181414,Всеволожск,181,2020-04-22,2020-04-30,offline,13,18
8157735,Волгодонск,59389,2020-11-21,2020-12-02,offline,7,12
5684078,Смоленск,85153,2020-06-02,2020-07-09,offline,13,41
5684078,Смоленск,85153,2020-06-02,2020-07-21,offline,13,41
7796294,Хасавюрт,14470,2022-04-22,2022-06-09,offline,4,10
1083562,Нижневартовск,93977,2021-06-11,2021-06-27,online,6,31
950760,Рославль,12113,2020-10-30,2020-11-16,offline,10,20
950760,Рославль,12113,2020-10-30,2020-12-15,offline,10,20
5533413,Железногорск (Курская область),12687,2020-02-13,2020-03-06,online,11,48
5132474,Донской,13666,2022-01-27,2022-03-03,online,13,20
5132474,Донской,13666,2022-01-27,2022-03-03,online,13,20
5132474,Донской,13666,2022-01-27,2022-02-10,online,13,20
5132474,Донской,13666,2022-01-27,2022-02-09,online,13,20
7637780,Сарапул,89428,2021-03-16,2021-04-11,online,2,6
7637780,Сарапул,89428,2021-03-16,2021-04-13,online,2,6
6235073,Верхняя Пышма,68907,2022-04-03,2022-04-30,offline,4,22
269301,Балашов,87400,2020-08-26,2020-09-11,online,15,33
7000636,Абакан,71202,2021-01-11,2021-03-04,offline,13,11
2523079,Воскресенск,33561,2020-06-18,2020-06-28,offline,15,3
2523079,Воскресенск,33561,2020-06-18,2020-07-09,offline,15,3
2523079,Воскресенск,33561,2020-06-18,2020-07-24,offline,15,3
5126609,Дзержинск,67402,2023-01-17,2023-03-03,online,5,28
4963142,Иваново,67195,2022-08-07,2022-09-23,offline,4,5
6929364,Мичуринск,78824,2022-05-31,2022-07-14,offline,8,50
3896175,Кисловодск,12011,2023-03-10,2023-04-13,online,12,7
3896175,Кисловодск,12011,2023-03-10,2023-03-17,online,12,7
2193120,Нефтеюганск,43613,2022-07-13,2022-07-24,online,10,8
2193120,Нефтеюганск,43613,2022-07-13,2022-07-27,online,10,8
9841663,Орск,92688,2022-05-03,2022-05-26,offline,1,12
9599952,Междуреченск,50388,2020-05-13,2020-05-20,online,14,9
9599952,Междуреченск,50388,2020-05-13,2020-06-13,online,14,9
1278173,Махачкала,86045,2021-05-30,2021-06-12,online,12,27
1278173,Махачкала,86045,2021-05-30,2021-07-05,online,12,27
1278173,Махачкала,86045,2021-05-30,2021-07-20,online,12,27
7783672,Ленинск-Кузнецкий,75084,2022-11-25,2023-01-23,offline,14,6
4963142,Иваново,40814,2021-03-19,2021-03-22,online,12,17
4963142,Иваново,40814,2021-03-19,2021-03-25,online,12,17
4963142,Иваново,40814,2021-03-19,2021-03-30,online,12,17
7108795,Жигулевск,59270,2020-07-21,2020-09-11,online,8,22
9481903,Ульяновск,63735,2020-08-08,2020-09-30,offline,12,15
8172912,Курск,60508,2020-10-26,2020-12-12,offline,3,41
8172912,Курск,60508,2020-10-26,2020-12-09,offline,3,41
3163123,Южно-Сахалинск,56744,2022-01-22,2022-03-15,online,11,7
8376874,Ивантеевка,73771,2020-07-11,2020-08-13,offline,4,20
1908237,Бугульма,17377,2023-04-17,2023-04-18,online,5,28
1908237,Бугульма,17377,2023-04-17,2023-06-01,online,5,28
5684078,Смоленск,53704,2022-10-25,2022-10-28,offline,15,44
2893413,Керчь,89030,2020-05-26,2020-06-14,offline,1,48
2893413,Керчь,89030,2020-05-26,2020-07-19,offline,1,48
9603222,Екатеринбург,20319,2020-01-08,2020-01-27,online,2,25
5852935,Выкса,35442,2021-05-22,2021-06-08,offline,15,44
5980316,Ульяновск,27509,2022-07-17,2022-09-05,offline,8,40
5980316,Ульяновск,27509,2022-07-17,2022-09-05,offline,8,40
950760,Рославль,38545,2022-11-25,2023-01-08,online,13,8
687924,Коломна,7631,2021-09-10,2021-10-24,online,3,6
288916,Рыбинск,22838,2021-01-05,2021-02-17,online,11,45
288916,Рыбинск,22838,2021-01-05,2021-02-24,online,11,45
5277103,Азов,88352,2022-07-30,2022-09-09,online,4,24
9603222,Екатеринбург,20319,2020-01-08,2020-01-27,online,15,35
4631776,Анжеро-Судженск,94291,2022-10-07,2022-11-19,online,3,32
4951223,Уссурийск,78890,2023-03-29,2023-04-17,online,14,39
1436524,Кострома,2024,2021-08-25,2021-10-24,online,10,34
1484345,Щекино,44903,2021-02-24,2021-03-28,offline,5,37
1757142,Батайск,59917,2023-02-21,2023-03-06,offline,11,48
3488569,Тула,5178,2020-05-03,2020-06-17,online,8,34
2627693,Черемхово,68943,2021-06-30,2021-07-07,online,15,8
8175869,Феодосия,97838,2021-03-10,2021-03-16,offline,6,41
4147721,Буденновск,49153,2021-04-14,2021-04-21,offline,9,44
7601333,Омск,6020,2022-06-21,2022-07-31,online,4,22
7601333,Омск,6020,2022-06-21,2022-06-23,online,4,22
7601333,Омск,6020,2022-06-21,2022-08-15,online,4,22
7375328,Каспийск,30292,2021-09-23,2021-11-05,online,3,1
7375328,Каспийск,30292,2021-09-23,2021-10-25,online,3,1
7375328,Каспийск,30292,2021-09-23,2021-10-05,online,3,1
9517861,Арзамас,58133,2022-09-10,2022-10-26,online,9,9
8506018,Клин,45040,2021-05-05,2021-05-19,offline,10,1
3258133,Томск,58872,2020-02-25,2020-03-21,online,4,1
3258133,Томск,58872,2020-02-25,2020-03-15,online,4,1
3258133,Томск,58872,2020-02-25,2020-03-05,online,4,1
9949746,Магнитогорск,70508,2021-10-04,2021-10-19,offline,11,2
9511373,Новороссийск,24821,2021-04-22,2021-04-25,online,15,41
9851599,Тольятти,71261,2022-05-14,2022-06-08,offline,8,10
9484200,Гусь-Хрустальный,21210,2022-10-22,2022-11-27,online,9,2
9484200,Гусь-Хрустальный,21210,2022-10-22,2022-12-21,online,9,2
2654849,Уфа,40502,2021-09-03,2021-10-11,online,5,41
1838335,Железногорск (Красноярский край),75351,2022-11-29,2023-01-26,online,1,40
1838335,Железногорск (Красноярский край),75351,2022-11-29,2023-01-06,online,1,40
1838335,Железногорск (Красноярский край),75351,2022-11-29,2022-12-12,online,1,40
1838335,Железногорск (Красноярский край),75351,2022-11-29,2022-12-12,online,1,40
2407002,Усть-Илимск,68704,2023-02-01,2023-03-09,offline,13,35
2407002,Усть-Илимск,68704,2023-02-01,2023-04-01,offline,13,35
2407002,Усть-Илимск,68704,2023-02-01,2023-03-09,offline,13,35
2407002,Усть-Илимск,68704,2023-02-01,2023-02-20,offline,13,35
2471692,Тихвин,63796,2020-09-02,2020-09-30,offline,12,19
2471692,Тихвин,63796,2020-09-02,2020-09-09,offline,12,19
161844,Зеленодольск,23239,2022-11-24,2022-12-06,offline,4,14
9978715,Троицк,10002,2020-03-09,2020-05-04,offline,7,15
3277864,Воркута,28238,2022-11-11,2023-01-03,online,13,43
3277864,Воркута,28238,2022-11-11,2023-01-09,online,13,43
7571024,Великий Новгород,7619,2020-12-29,2021-01-09,offline,6,10
6319082,Иркутск,30966,2021-09-04,2021-10-21,offline,6,48
6319082,Иркутск,30966,2021-09-04,2021-10-19,offline,6,48
4948747,Балашиха,36453,2022-04-21,2022-04-27,online,12,33
4948747,Балашиха,36453,2022-04-21,2022-05-16,online,12,33
4948747,Балашиха,36453,2022-04-21,2022-05-14,online,12,33
6811586,Апатиты,6214,2022-04-11,2022-05-16,online,8,32
4376295,Саратов,27144,2021-10-29,2021-11-03,online,15,12
4376295,Саратов,27144,2021-10-29,2021-12-10,online,15,12
4376295,Саратов,27144,2021-10-29,2021-10-30,online,15,12
1034078,Балаково,67581,2021-03-22,2021-04-11,online,6,50
6086732,Новотроицк,26125,2022-08-05,2022-08-16,online,12,21
1908237,Бугульма,66513,2021-01-12,2021-01-16,online,15,28
9970004,Боровичи,19314,2022-05-30,2022-07-25,offline,12,29
8291592,Саров,36816,2021-10-28,2021-12-18,online,5,29
9603222,Екатеринбург,20319,2020-01-08,2020-01-27,online,8,42
4909710,Арсеньев,20228,2021-07-06,2021-07-21,offline,10,20
1083562,Нижневартовск,93977,2021-06-11,2021-06-27,online,1,41
8131696,Арзамас,50017,2022-10-09,2022-11-18,offline,9,3
553536,Альметьевск,96991,2021-08-03,2021-08-16,online,10,46
1125538,Ревда,85837,2021-06-08,2021-06-24,offline,13,25
1125538,Ревда,85837,2021-06-08,2021-07-14,offline,13,25
7946166,Орехово-Зуево,20936,2021-10-12,2021-11-11,offline,3,37
3197234,Чебоксары,14950,2021-03-21,2021-03-28,offline,15,3
4141232,Клинцы,44887,2022-04-03,2022-04-07,online,15,1
2365208,Ростов-на-Дону,17872,2021-05-16,2021-07-01,online,3,2
7728365,Северодвинск,39985,2022-03-04,2022-04-15,offline,13,32
3439255,Ступино,43857,2021-05-25,2021-06-12,offline,12,6
3423229,Артем,16558,2021-09-24,2021-10-03,offline,2,34
3423229,Артем,16558,2021-09-24,2021-10-07,offline,2,34
9978715,Троицк,24970,2023-01-17,2023-01-28,offline,15,34
9785684,Ижевск,88576,2023-03-12,2023-04-27,offline,10,30
7528079,Боровичи,42974,2020-12-03,2020-12-23,offline,10,21
9589575,Серов,61149,2022-12-22,2023-01-14,offline,3,33
380443,Всеволожск,20087,2022-12-08,2022-12-28,offline,11,13
1220217,Балаково,42759,2021-12-07,2021-12-27,online,9,32
3258133,Томск,7326,2021-12-24,2022-01-12,offline,1,36
3258133,Томск,7326,2021-12-24,2022-01-10,offline,1,36
2911210,Заречный,32862,2022-07-29,2022-09-27,online,10,37
4775564,Чита,89719,2022-06-17,2022-08-10,online,7,9
4376295,Саратов,27144,2021-10-29,2021-11-03,online,6,30
4376295,Саратов,27144,2021-10-29,2021-12-10,online,6,30
4376295,Саратов,27144,2021-10-29,2021-10-30,online,6,30
2140545,Лениногорск,64236,2020-08-29,2020-10-14,offline,5,45
2140545,Лениногорск,64236,2020-08-29,2020-10-10,offline,5,45
4147806,Благовещенск (Амурская область),98129,2021-10-29,2021-11-30,online,8,49
4147806,Благовещенск (Амурская область),98129,2021-10-29,2021-12-17,online,8,49
9511373,Новороссийск,24821,2021-04-22,2021-04-25,online,13,29
8376874,Ивантеевка,80304,2021-01-02,2021-02-19,online,3,15
6811586,Апатиты,85053,2022-11-08,2023-01-04,online,15,1
6811586,Апатиты,85053,2022-11-08,2022-12-14,online,15,1
2565819,Краснотурьинск,53509,2020-06-05,2020-06-24,online,14,7
2565819,Краснотурьинск,53509,2020-06-05,2020-06-21,online,14,7
9589575,Серов,25990,2021-04-22,2021-04-23,online,12,10
9589575,Серов,25990,2021-04-22,2021-06-15,online,12,10
1644687,Черногорск,75881,2020-10-18,2020-10-28,online,1,11
1436524,Кострома,75636,2020-05-06,2020-05-26,online,2,32
3973617,Урус-Мартан,3335,2020-06-01,2020-07-04,online,10,14
1484345,Щекино,27561,2022-06-28,2022-08-13,offline,11,19
1484345,Щекино,27561,2022-06-28,2022-08-11,offline,11,19
1484345,Щекино,27561,2022-06-28,2022-08-16,offline,11,19
5875923,Дубна,16001,2021-06-21,2021-07-10,online,4,9
3210571,Ставрополь,4833,2020-12-28,2021-01-25,offline,12,30
3210571,Ставрополь,4833,2020-12-28,2021-01-07,offline,12,30
3210571,Ставрополь,4833,2020-12-28,2020-12-30,offline,12,30
4954842,Ишимбай,90771,2020-06-04,2020-07-02,offline,10,32
7760533,Комсомольск-на-Амуре,42737,2022-04-11,2022-05-14,online,11,48
455715,Тюмень,8764,2020-10-03,2020-11-26,offline,14,21
3591982,Искитим,19926,2022-10-07,2022-11-29,online,4,32
4748490,Губкин,66503,2020-04-18,2020-04-22,online,4,38
8042250,Дубна,45544,2020-08-07,2020-08-28,online,14,44
8042250,Дубна,45544,2020-08-07,2020-10-03,online,14,44
8042250,Дубна,45544,2020-08-07,2020-09-12,online,14,44
1388281,Ангарск,10558,2020-09-11,2020-09-13,online,14,41
1388281,Ангарск,10558,2020-09-11,2020-09-14,online,14,41
8016267,Новокуйбышевск,63359,2020-02-13,2020-04-03,offline,2,43
8016267,Новокуйбышевск,63359,2020-02-13,2020-03-18,offline,2,43
5025416,Невинномысск,14422,2022-04-21,2022-04-22,online,13,28
5025416,Невинномысск,14422,2022-04-21,2022-05-11,online,13,28
